rodzina;wzrost_ojca;wzrost_matki;plec;liczba_dzieci;wzrost_dziecka
1;199,39;170,18;1;4;185,928
1;199,39;170,18;0;4;175,768
1;199,39;170,18;0;4;175,26
1;199,39;170,18;0;4;175,26
2;191,77;168,91;1;4;186,69
2;191,77;168,91;1;4;184,15
2;191,77;168,91;0;4;166,37
2;191,77;168,91;0;4;166,37
3;190,5;162,56;1;2;180,34
3;190,5;162,56;0;2;172,72
4;190,5;162,56;1;5;179,07
4;190,5;162,56;1;5;173,99
4;190,5;162,56;0;5;170,18
4;190,5;162,56;0;5;163,83
4;190,5;162,56;0;5;160,02
5;190,5;148,59;1;6;182,88
5;190,5;148,59;1;6;175,26
5;190,5;148,59;1;6;172,72
5;190,5;148,59;0;6;168,91
5;190,5;148,59;0;6;158,75
5;190,5;148,59;0;6;158,75
6;187,96;172,72;0;1;176,53
7;187,96;172,72;1;6;194,31
7;187,96;172,72;1;6;187,96
7;187,96;172,72;1;6;185,42
7;187,96;172,72;1;6;185,42
7;187,96;172,72;0;6;179,07
7;187,96;172,72;0;6;162,56
8;187,96;168,91;0;3;179,07
8;187,96;168,91;0;3;172,72
8;187,96;168,91;0;3;167,64
9;189,23;167,64;0;1;167,64
10;187,96;166,37;0;1;166,37
11;187,96;157,48;1;8;187,96
11;187,96;157,48;1;8;177,8
11;187,96;157,48;0;8;172,72
11;187,96;157,48;0;8;170,18
11;187,96;157,48;0;8;170,18
11;187,96;157,48;0;8;167,64
11;187,96;157,48;0;8;161,29
11;187,96;157,48;0;8;160,02
12;187,96;154,94;0;1;165,1
14;185,42;170,18;1;2;172,72
14;185,42;170,18;1;2;170,18
15;185,42;168,91;1;3;180,34
15;185,42;168,91;1;3;179,07
15;185,42;168,91;0;3;169,418
16;185,42;165,1;1;9;182,88
16;185,42;165,1;1;9;179,07
16;185,42;165,1;1;9;178,308
16;185,42;165,1;1;9;178,308
16;185,42;165,1;1;9;175,768
16;185,42;165,1;0;9;174,498
16;185,42;165,1;0;9;168,91
16;185,42;165,1;0;9;163,83
16;185,42;165,1;0;9;161,29
17;185,42;163,83;1;6;187,96
17;185,42;163,83;1;6;185,42
17;185,42;163,83;1;6;181,61
17;185,42;163,83;1;6;158,75
17;185,42;163,83;0;6;168,91
17;185,42;163,83;0;6;158,242
18;185,42;162,56;0;3;167,64
18;185,42;162,56;0;3;163,83
18;185,42;162,56;0;3;162,56
19;185,928;160,02;0;1;159,258
20;184,658;175,26;1;8;185,928
20;184,658;175,26;1;8;185,42
20;184,658;175,26;1;8;184,658
20;184,658;175,26;0;8;177,8
20;184,658;175,26;0;8;175,26
20;184,658;175,26;0;8;173,99
20;184,658;175,26;0;8;172,72
20;184,658;175,26;0;8;167,64
21;182,88;172,72;1;3;185,42
21;182,88;172,72;0;3;173,99
21;182,88;172,72;0;3;172,72
22;182,88;170,18;1;3;185,42
22;182,88;170,18;1;3;180,34
22;182,88;170,18;0;3;170,18
23;182,88;165,1;1;7;188,468
23;182,88;165,1;1;7;179,07
23;182,88;165,1;1;7;176,53
23;182,88;165,1;0;7;167,64
23;182,88;165,1;0;7;166,37
23;182,88;165,1;0;7;165,1
23;182,88;165,1;0;7;165,1
24;182,88;166,37;0;1;166,37
25;182,88;162,56;0;2;167,64
25;182,88;162,56;0;2;160,02
26;182,88;160,02;1;5;179,07
26;182,88;160,02;1;5;179,07
26;182,88;160,02;1;5;175,26
26;182,88;160,02;0;5;165,1
26;182,88;160,02;0;5;160,02
27;182,88;160,02;1;3;175,26
27;182,88;160,02;1;3;170,18
27;182,88;160,02;0;3;160,02
28;182,88;160,02;1;6;185,42
28;182,88;160,02;1;6;170,18
28;182,88;160,02;0;6;179,07
28;182,88;160,02;0;6;177,8
28;182,88;160,02;0;6;168,91
28;182,88;160,02;0;6;160,02
29;184,15;161,29;0;3;171,45
29;184,15;161,29;0;3;170,688
29;184,15;161,29;0;3;169,418
30;182,88;157,48;0;1;162,56
31;184,15;157,48;1;6;180,34
31;184,15;157,48;1;6;177,8
31;184,15;157,48;1;6;177,8
